processed_text,label
phát ra tiếng ồn khó_chịu,negative
sự cải_thiện sau,negative
quá chậm mất nhiều thời_gian chờ_đợi,negative
nhân_viên thông_báo đến,negative
sau gặp vấn_đề,negative
chất_lượng quá kém đáng tin_cậy,negative
sau sửa xong hoạt_động tệ,negative
nhân_viên kỹ_thuật thiếu kiến_thức chuyên_môn cơ_bản,negative
thời_gian chờ_đợi quá lâu làm_việc kế_hoạch,negative
mát sau nhiều lần,negative
đáng số tiền bỏ ra,negative
nhân_viên làm_việc qua_loa thiếu trách_nhiệm,negative
chi_phí phát_sinh thông_báo,negative
chảy nước sau sửa_chữa,negative
thái_độ phục_vụ nhân_viên tệ,negative
giải_quyết triệt_để vấn_đề,negative
nhân_viên đến muộn 2 tiếng so lịch hẹn,negative
sau tiêu_thụ điện nhiều,negative
chất_lượng phụ_tùng thay_thế kém,negative
nhân_viên mang đủ dụng_cụ sửa_chữa,negative
hư nặng sau sửa,negative
bảo_hành sau sửa_chữa,negative
nhân_viên vệ_sinh sạch_sẽ sau làm xong,negative
hóa_đơn chứng_từ rõ_ràng,negative
phát ra tiếng ồn lớn sau sửa,negative
nhân_viên giải_thích rõ nguyên_nhân hư_hỏng,negative
chi_phí sửa_chữa cao nhiều so báo_giá,negative
ổn_định sau,negative
thợ sửa kinh_nghiệm xử_lý_sự_cố,negative
hotline hỗ_trợ sau bán hàng,negative
nhân_viên từ_chối sửa_chữa những lỗi phức_tạp,negative
rỉ sét sau vệ_sinh,negative
phiếu bảo_hành sau sửa_chữa,negative
thái_độ nhân_viên thiếu tôn_trọng khách_hàng,negative
mùi hôi sau vệ_sinh,negative
nhân_viên mang đồ bảo_hộ làm_việc,negative
chính_sách đền_bù thiệt_hại,negative
trầy_xước sau,negative
thời_gian sửa_chữa kéo_dài cần_thiết,negative
nhân_viên thông_báo hủy lịch hẹn,negative
chất_lượng đồng_đều lần,negative
rò gas sau nạp gas,negative
nhân_viên đồng_phục công_ty,negative
cam_kết chất_lượng rõ_ràng,negative
đóng tuyết sau sửa,negative
thợ sửa xử_lý lỗi cơ_bản,negative
chi_phí phát_sinh giải_thích rõ,negative
hoạt_động yếu sau,negative
nhân_viên thẻ nhân_viên chính_thức,negative
website chính_thống,negative
rung lắc mạnh sau lắp,negative
thợ sửa làm_việc thiếu an_toàn,negative
biên_bản nghiệm_thu sau sửa_chữa,negative
hỏng remote sau sửa,negative
nhân_viên sử_dụng thiết_bị đo,negative
phương_án dự_phòng,negative
nước nhỏ_giọt liên_tục,negative
thợ sửa mang phụ_tùng thay_thế,negative
chất_lượng công_việc đảm_bảo,negative
nhiễu điện sau sửa,negative
nhân_viên ghi_chép số_liệu kiểm_tra,negative
quy_trình rõ_ràng,negative
hư cảm_biến nhiệt_độ,negative
thợ sửa đọc sơ_đồ mạch điện,negative
chi_phí cao thị_trường nhiều,negative
mất chức_năng hẹn giờ,negative
nhân_viên tháo lắp đúng,negative
bảo_hiểm trách_nhiệm,negative
mất chức_năng swing,negative
thợ sửa làm vỡ vỏ nhựa,negative
phiếu kiểm_tra chất_lượng,negative
rò điện sau sửa,negative
nhân_viên vệ_sinh đúng,negative
xe cứu_hộ khẩn_cấp,negative
hỏng board mạch chính,negative
thợ sửa công_cụ chuyên_dụng,negative
chất_lượng spare part đảm_bảo,negative
chập điện sau sửa,negative
nhân_viên test máy,negative
chứng_chỉ hành_nghề,negative
hỏng quạt dàn nóng,negative
thợ sửa nạp gas,negative
chi_phí vật_tư cao thị_trường,negative
hỏng cảm_biến_áp_suất,negative
nhân_viên xử_lý rò_rỉ,negative
máy hút chân_không,negative
hỏng van điện_từ,negative
thợ sửa làm hỏng ống đồng,negative
bảng báo_giá chi_tiết,negative
hỏng quạt dàn lạnh,negative
nhân_viên hàn ống,negative
thiết_bị đo chuyên_dụng,negative
hỏng tụ_điện,negative
thợ sửa ống đồng,negative
chất_lượng khớp nối đảm_bảo,negative
hỏng relay,negative
nhân_viên đọc đồng_hồ đo,negative
phụ_tùng chính hãng,negative
hỏng cầu_chì,negative
thợ sửa làm hỏng dàn tản_nhiệt,negative
chi_phí nhân_công quá cao,negative
hỏng thermostat,negative
nhân_viên uốn ống,negative
bảo_hành lâu_dài,negative
hỏng van tiết lưu,negative
thợ sửa làm hỏng cánh_quạt,negative
biên_bản bàn_giao,negative
hỏng timer,negative
nhân_viên lắp_đặt,negative
kỹ_sư giám_sát,negative
hỏng màn_hình,negative
thợ sửa làm rách ống cách_nhiệt,negative
chất_lượng thiết_bị đo đạt chuẩn,negative
hỏng biến tần,negative
nhân_viên thay gas,negative
phòng cách_âm test máy,negative
hỏng sensor,negative
thợ sửa làm hỏng khớp nối,negative
chi_phí di_chuyển quá cao,negative
hỏng mạch điều_khiển,negative
nhân_viên vệ_sinh dàn lạnh,negative
đội_ngũ kỹ_thuật chuyên_sâu,negative
hỏng động_cơ quạt,negative
thợ sửa làm hỏng ống nước,negative
phiếu định_kỳ,negative
hỏng dàn nóng,negative
nhân_viên xử_lý tiếng ồn,negative
máy_bơm chân_không,negative
hỏng dàn lạnh,negative
thợ sửa làm hỏng vỏ máy,negative
chất_lượng gas đảm_bảo,negative
hỏng block,negative
nhân_viên kiểm_tra rò_rỉ,negative
thiết_bị dò gas,negative
hỏng máy nén,negative
thợ sửa làm hỏng ống thoát nước,negative
chi_phí vận_chuyển quá cao,negative
hỏng mạch nguồn,negative
nhân_viên sửa board,negative
phòng thực_hành,negative
hỏng ic,negative
thợ sửa làm hỏng dàn tản_nhiệt,negative
bảo_hành linh_kiện,negative
hỏng mosfet,negative
nhân_viên thay block,negative
thiết_bị chống nhiễu,negative
hỏng tụ nguồn,negative
thợ sửa làm hỏng van ga,negative
chất_lượng điện_trở đảm_bảo,negative
hỏng tụ run,negative
nhân_viên thay quạt,negative
thiết_bị đo áp_suất,negative
hỏng cảm_biến dòng,negative
thợ sửa làm hỏng ống gas,negative
chi_phí kiểm_tra quá cao,negative
hỏng mạch điều_khiển xa,negative
nhân_viên thay sensor,negative
phòng bảo_hành,negative
hỏng relay khởi_động,negative
thợ sửa làm hỏng van một_chiều,negative
chế_độ định_kỳ,negative
hỏng mạch cảm_biến,negative
nhân_viên thay_tụ,negative
kho phụ_tùng,negative
hỏng cầu_chì nguồn,negative
thợ sửa làm hỏng ống dẫn,negative
chất_lượng dây_điện đảm_bảo,negative
hỏng mạch bảo_vệ,negative
nhân_viên thay ic,negative
phòng lắp_ráp,negative
hỏng mạch khởi_động,negative
thợ sửa làm hỏng dây nguồn,negative
chi_phí thay_thế quá cao,negative
hỏng mạch điều_khiển quạt,negative
nhân_viên thay mosfet,negative
phòng test máy,negative
hỏng mạch điều_khiển nhiệt_độ,negative
thợ sửa làm hỏng cảm_biến nhiệt,negative
chính_sách đổi trả,negative
hỏng mạch điều_khiển áp_suất,negative
nhân_viên thay board,negative
thiết_bị kiểm_tra,negative
hỏng mạch điều_khiển dòng_điện,negative
thợ sửa làm hỏng cảm_biến_áp,negative
ổn đặc_biệt,neutral
chất_lượng đúng mong_đợi,neutral
nhân_viên làm_việc đúng quy_trình quá xuất_sắc,neutral
sau hoạt_động bình_thường nổi_bật,neutral
vấn_đề xảy ra hoàn_thành đúng cam_kết,neutral
tương_đối điều nổi_bật,neutral
giá_cả phù_hợp chất_lượng,neutral
sau hoạt_động đúng ban_đầu,neutral
nhân_viên làm_việc đúng giờ điều đáng phàn_nàn,neutral
đúng tiến_độ sự chậm_trễ,neutral
đáng chú_ý thực_hiện đúng yêu_cầu,neutral
chất_lượng ổn_định điều phàn_nàn,neutral
thực_hiện đúng thỏa_thuận,neutral
sau sự thay_đổi đáng_kể,neutral
nhân_viên thực_hiện công_việc một_cách chính_xác,neutral
hoàn_thành đúng thời_gian dự_kiến,neutral
đặc_biệt mọi thứ đều ổn,neutral
hoạt_động bình_thường sau,neutral
thực_hiện một_cách trung_bình nổi_bật,neutral
vấn_đề sau hoạt_động ổn_định,neutral
đáp_ứng đúng nhu_cầu cơ_bản,neutral
thợ làm_việc đúng quy_trình tiêu_chuẩn,neutral
chất_lượng phục_vụ mức trung_bình,neutral
thái_độ nhân_viên bình_thường quá nhiệt_tình,neutral
giá_cả phù_hợp thị_trường chung,neutral
thời_gian hoàn_thành_công_việc đúng dự_kiến,neutral
vận_hành ổn sau bảo_dưỡng,neutral
đặc_sắc đạt yêu_cầu,neutral
nhân_viên làm_việc đúng giờ đúng quy_trình,neutral
chất_lượng đạt mức cơ_bản,neutral
điểm nổi_bật phục_vụ,neutral
thực_hiện một_cách bình_thường,neutral
kỹ_thuật_viên làm_việc đúng tiêu_chuẩn,neutral
hoạt_động bình_thường sau sửa_chữa,neutral
thời_gian chờ_đợi mức chấp_nhận,neutral
quy_trình làm_việc đặc_biệt,neutral
chất_lượng nằm giới_hạn mong_đợi,neutral
nhân_viên thực_hiện đúng những cam_kết,neutral
công_việc hoàn_thành mức tạm,neutral
điểm phàn_nàn,neutral
vận_hành bình_thường sau,neutral
thái_độ phục_vụ mức trung_bình,neutral
khen_ngợi phàn_nàn,neutral
chi_phí nằm mức chấp_nhận,neutral
chất_lượng công_việc đạt yêu_cầu cơ_bản,neutral
thời_gian thực_hiện quá nhanh quá chậm,neutral
nhân_viên làm_việc đúng quy_trình standard,neutral
thực_hiện một_cách bình_thường,neutral
hoạt_động ổn_định sau sửa,neutral
điểm đáng chú_ý,neutral
chất_lượng phục_vụ nằm kỳ_vọng,neutral
thợ làm_việc đúng những thống_nhất,neutral
khen chê,neutral
công_việc hoàn_thành đúng tiêu_chuẩn,neutral
thái_độ nhân_viên bình_thường quá nổi_bật,neutral
chạy ổn_định sau bảo_dưỡng,neutral
chi_phí nằm mức trung_bình,neutral
vấn_đề đáng quan_ngại,neutral
chất_lượng mức tạm chấp_nhận,neutral
nhân_viên làm_việc đúng quy_trình cơ_bản,neutral
thời_gian hoàn_thành_công_việc dự_kiến,neutral
thực_hiện một_cách bình_thường,neutral
vận_hành bình_thường sau sửa_chữa,neutral
điểm đặc_biệt phục_vụ,neutral
chất_lượng công_việc đạt yêu_cầu tối_thiểu,neutral
thợ làm_việc đúng quy_trình tiêu_chuẩn,neutral
phàn_nàn,neutral
công_việc hoàn_thành đúng cam_kết,neutral
thái_độ phục_vụ mức bình_thường,neutral
hoạt_động ổn sau sửa,neutral
chi_phí nằm mức giá thị_trường,neutral
điểm nổi_bật,neutral
chất_lượng phục_vụ đạt mức trung_bình,neutral
nhân_viên làm_việc đúng quy_trình chuẩn,neutral
thời_gian thực_hiện quá lâu,neutral
thực_hiện một_cách bình_thường,neutral
vận_hành ổn_định sau,neutral
vấn_đề đáng lo_ngại,neutral
chất_lượng công_việc nằm kỳ_vọng,neutral
thợ làm_việc đúng quy_trình,neutral
đặc_biệt nhắc đến,neutral
công_việc hoàn_thành đúng thời_hạn,neutral
thái_độ nhân_viên mức bình_thường,neutral
hoạt_động bình_thường sau sửa,neutral
chi_phí phù_hợp chất_lượng,neutral
điểm đáng chú_ý,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng quy_trình,neutral
thời_gian hoàn_thành thỏa_thuận,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
đặc_biệt làm_việc,neutral
chất_lượng công_việc đạt yêu_cầu,neutral
thợ làm_việc đúng quy_trình,neutral
điểm nổi_bật,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí nằm mức chấp_nhận,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí nằm mức chấp_nhận,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí phù_hợp,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí nằm mức chấp_nhận,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
vận_hành ổn sau sửa,neutral
điểm đáng nhắc,neutral
chất_lượng công_việc tạm,neutral
thợ làm_việc quy_trình,neutral
đặc_sắc,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ nhân_viên bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí hợp_lý,neutral
đáng phàn_nàn,neutral
chất_lượng đạt yêu_cầu cơ_bản,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian hoàn_thành phù_hợp,neutral
thực_hiện bình_thường,neutral
vận_hành ổn_định,neutral
điểm nổi_bật,neutral
chất_lượng công_việc tạm ổn,neutral
thợ làm_việc quy_trình,neutral
đặc_biệt,neutral
công_việc hoàn_thành đúng hẹn,neutral
thái_độ phục_vụ bình_thường,neutral
hoạt_động ổn_định,neutral
chi_phí phù_hợp,neutral
vấn_đề lớn,neutral
chất_lượng mức trung_bình,neutral
nhân_viên làm_việc đúng giờ,neutral
thời_gian thực_hiện dự_kiến,neutral
thực_hiện bình_thường,neutral
